experimental_emp,experimental_se_emp,surrogate_index_emp,surrogate_index_se_emp,naive_emp,naive_se_emp,single_surrogate_emp,single_surrogate_se_emp,emp_weight_1_b,emp_weight_1_se,emp_weight_2_b,emp_weight_2_se,emp_weight_3_b,emp_weight_3_se,emp_weight_4_b,emp_weight_4_se,emp_weight_5_b,emp_weight_5_se,emp_weight_6_b,emp_weight_6_se,emp_weight_7_b,emp_weight_7_se,emp_weight_8_b,emp_weight_8_se,emp_weight_9_b,emp_weight_9_se,emp_weight_10_b,emp_weight_10_se,emp_weight_11_b,emp_weight_11_se,emp_weight_12_b,emp_weight_12_se,emp_weight_13_b,emp_weight_13_se,emp_weight_14_b,emp_weight_14_se,emp_weight_15_b,emp_weight_15_se,emp_weight_16_b,emp_weight_16_se,emp_weight_17_b,emp_weight_17_se,emp_weight_18_b,emp_weight_18_se,emp_weight_19_b,emp_weight_19_se,emp_weight_20_b,emp_weight_20_se,emp_weight_21_b,emp_weight_21_se,emp_weight_22_b,emp_weight_22_se,emp_weight_23_b,emp_weight_23_se,emp_weight_24_b,emp_weight_24_se,emp_weight_25_b,emp_weight_25_se,emp_weight_26_b,emp_weight_26_se,emp_weight_27_b,emp_weight_27_se,emp_weight_28_b,emp_weight_28_se,emp_weight_29_b,emp_weight_29_se,emp_weight_30_b,emp_weight_30_se,emp_weight_31_b,emp_weight_31_se,emp_weight_32_b,emp_weight_32_se,emp_weight_33_b,emp_weight_33_se,emp_weight_34_b,emp_weight_34_se,emp_weight_35_b,emp_weight_35_se,emp_weight_36_b,emp_weight_36_se,emp_constant,emp_constant_se,bias_01_emp,bias_05_emp,quarter
.062003888,.01059421,.074078225,.0099688116,.095306858,.010909356,.026648272,.0082123056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.17270026,.0065494864,.082433172,.0072201467,.06003429,.0066554635,.054296892,.0060935831,.042863231,.0055627972,.044939104,.0050000846,.048344202,.0044470951,.048875451,.0039871959,.043095309,.0034150726,.039708819,.0028523235,.038308501,.0023901111,.033004742,.0018937537,.030051257,.0014365677,.027445234,.00096729083,.028534882,.00049930299,.027777778,0,.037186019,.0023017281,.026443312,.059129041,21
.062003888,.01059421,.072922602,.010031873,.093059577,.010877983,.024114523,.0082195923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.14587991,.0060887234,.05012789,.0064741722,.036493104,.0059429058,.0308952,.0054157279,.030488189,.0048675062,.022952305,.0043337359,.022315152,.003885577,.023928056,.0033252998,.023061272,.0027763858,.025164843,.0023267758,.030560406,.0018438258,.03053076,.0013977798,.030676041,.00094052905,.027919067,.00048604285,.027777776,0,.034531843,.0021674077,.024703737,.055239238,22
.062003888,.01059421,.074131109,.010124075,.091489032,.010854653,.02979118,.0082572382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.16037333,.0055134213,.062000055,.006067839,.051169015,.0055380622,.041524835,.0049863905,.036715742,.0044360417,.032717414,.0039791325,.02985765,.0034058653,.025844224,.0028450678,.022832319,.0023848349,.025381396,.0018873953,.025459629,.0014308098,.026492042,.00096285669,.028006723,.00049710757,.027777778,0,.030389201,.0019895821,.02274929,.050868958,23
.062003888,.01059421,.073722094,.010207844,.089630358,.010822526,.023811832,.0080588916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.14451991,.0049522584,.061937116,.0052827946,.051698826,.0047585857,.049236879,.0042318525,.038318712,.0038088479,.039050393,.0032594465,.037395455,.0027215977,.038022425,.0022804048,.036334753,.0018044199,.032270398,.001369771,.030181315,.0009221285,.027579863,.00047648692,.027777778,0,.025518179,.0018283008,.020873882,.046675418,24
.062003888,.01059421,.072701484,.010273751,.087616958,.010799003,.02018331,.0081486274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.13567542,.0045188069,.062021181,.0046579004,.049997918,.0041567218,.04331056,.0037324291,.03218057,.0032060919,.032832988,.002676829,.027812226,.0022458711,.026456648,.0017769949,.029098917,.0013479166,.030171108,.00090709527,.029182719,.00046822487,.027777778,0,.022284446,.0016686094,.019219149,.042975321,25
.062003888,.01059421,.068607233,.01035151,.08456938,.010767958,.0042311479,.007985888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.12299567,.003808466,.041064579,.0041536898,.03656346,.0037266465,.032819103,.0031904248,.029040519,.0026651151,.02863474,.0022330529,.026779803,.0017670285,.025505191,.001339748,.02422143,.00090165198,.026141891,.00046565806,.027777778,0,.01933996,.0015024638,.017270273,.038617507,26
.062003888,.01059421,.067534775,.010406357,.081693619,.010732005,.0034203182,.0078465044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.12407415,.0036424897,.052214414,.0039364435,.039788563,.0033828714,.02939605,.0028344146,.030220332,.0023749617,.031589817,.0018791168,.031877562,.0014245423,.032192014,.00095854443,.030300336,.00049499067,.027777776,0,.015051231,.0013418794,.015265465,.034134619,27
.062003888,.01059421,.065349579,.010444516,.078789085,.010707857,.00018308734,.0079476992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.11094675,.003393258,.046379048,.0033220842,.045065694,.0027737934,.037801098,.0023301963,.031034322,.0018482537,.031236667,.0014011409,.027363835,.0009442927,.026217574,.00048744719,.027777778,0,.013405475,.0012041507,.013577779,.030360837,28
.062003888,.01059421,.064473495,.010474317,.076318808,.010692409,.0036578325,.0081263464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.11377755,.0028437956,.038866848,.0029304023,.033677716,.0024582609,.034831017,.0019449578,.028009847,.0014793136,.029504102,.00099560095,.029621204,.00051381579,.027777778,0,.011988205,.0010310523,.011655935,.026063463,29
.062003888,.01059421,.063355982,.010510888,.073650859,.010671803,-.0018645658,.0079559106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.10962964,.0025135686,.048310906,.0025415996,.035341483,.002026693,.031603683,.0015378131,.029453635,.001035174,.02820901,.00053435814,.027777778,0,.0089962017,.00086356141,.0097576259,.021818714,30
.062003888,.01059421,.064715967,.01053008,.071872741,.010651628,.0090690358,.0077788951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.089489095,.0020763942,.036851235,.0019386054,.032985691,.0014712008,.028330628,.00099199906,.026114607,.00051235396,.027777776,0,.0068698297,.00072523655,.0081909131,.01831544,31
.062003888,.01059421,.062795892,.010554296,.069545098,.010637732,-.0012643505,.0077488339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.083483033,.0016326214,.035599656,.0014967453,.03191622,.001008392,.029586906,.00052084873,.027777778,0,.0054543177,.00057443063,.0064994181,.014533141,32
.062003888,.01059421,.06298025,.010567995,.067560866,.010622995,.0019276025,.0075868857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.071715616,.0012605943,.034141794,.00099330139,.027980717,.00051569421,.027777778,0,.0037135796,.00043654183,.0049387878,.011043466,33
.062003888,.01059421,.061630204,.010582434,.065265201,.010612544,-.0048274975,.0074431449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.05840078,.00080339552,.032089997,.00047897207,.027777778,0,.0021883801,.00029448519,.0032491228,.0072652595,34
.062003888,.01059421,.062385362,.01059117,.063888252,.010602754,.0076011112,.0072029955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.045184508,.0004118183,.027777778,0,.00093047018,.00015241119,.0017304879,.0038694886,35
.062003888,.01059421,.062003888,.01059421,.062003888,.01059421,-.0016998021,.0070171002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.027777778,0,1.4578850e-09,0,0,0,36
